subject,tracking_r_baseline,status_baseline,finite_baseline,include_baseline,exclusion_baseline,tracking_r_combined,status_combined,finite_combined,include_combined,exclusion_combined,delta_tracking_r,include_delta_primary
sub-01,0.0436441057468323,ok,True,True,,0.0488812348250949,ok,True,True,,0.005237129078262598,True
sub-02,0.0579375923032028,ok,True,True,,0.0568216960529669,ok,True,True,,-0.0011158962502358996,True
sub-03,0.0421181167542881,ok,True,True,,0.0415654425163294,ok,True,True,,-0.0005526742379587044,True
sub-04,0.0110659243845777,ok,True,True,,0.0145358779460586,ok,True,True,,0.0034699535614808995,True
sub-05,0.0293064932759881,ok,True,True,,0.0315105345207929,ok,True,True,,0.0022040412448048018,True
sub-06,0.0270204974921498,ok,True,True,,0.0282077740660995,ok,True,True,,0.0011872765739496978,True
sub-07,0.0545209198586034,ok,True,True,,0.0531566382400563,ok,True,True,,-0.0013642816185470974,True
sub-08,0.0273162150110032,ok,True,True,,0.0294048896219894,ok,True,True,,0.0020886746109862013,True
sub-09,0.0437199128006282,ok,True,False,audio_alignment_failed,0.0436800292877937,ok,True,False,audio_alignment_failed,-3.988351283450153e-05,False
sub-10,0.0200199694648607,ok,True,True,,0.0165414124928787,ok,True,True,,-0.003478556971981999,True
sub-11,0.0039874328086905,ok,True,True,,0.007363546470734,ok,True,True,,0.0033761136620435,True
sub-12,0.0344080105174141,ok,True,True,,0.0364676767418578,ok,True,True,,0.0020596662244437014,True
sub-13,0.0773206037338425,ok,True,True,,0.0799843350276475,ok,True,True,,0.0026637312938049967,True
sub-14,0.0867197941056857,ok,True,True,,0.0878836772065103,ok,True,True,,0.0011638831008246031,True
sub-15,0.0584781799393387,ok,True,True,,0.0637452275129535,ok,True,True,,0.005267047573614798,True
sub-16,0.0556651214714848,ok,True,False,audio_alignment_failed,0.0560059519150167,ok,True,False,audio_alignment_failed,0.000340830443531899,False
sub-17,0.0559308674695739,ok,True,True,,0.0578972861456771,ok,True,True,,0.0019664186761031988,True
sub-18,0.0473976674832104,ok,True,True,,0.0467801059431425,ok,True,True,,-0.0006175615400679027,True
sub-19,0.0329696594212445,ok,True,True,,0.0315886988488302,ok,True,True,,-0.001380960572414304,True
sub-20,0.0130586500890059,ok,True,True,,0.0124187950338799,ok,True,True,,-0.0006398550551259992,True
sub-21,0.0262675019830851,ok,True,True,,0.0284588090157517,ok,True,True,,0.0021913070326665986,True
sub-22,0.0047917703523106,ok,True,True,,0.005148620863988,ok,True,True,,0.0003568505116773998,True
sub-23,0.0146041994765793,ok,True,True,,0.0214760485272906,ok,True,True,,0.006871849050711301,True
sub-24,0.0066713812020096,ok,True,True,,0.008565353862204,ok,True,True,,0.0018939726601944007,True
sub-25,0.0319177269866377,ok,True,True,,0.0326288047416886,ok,True,True,,0.0007110777550508943,True
sub-26,0.0197978252083193,ok,True,True,,0.0266462645187805,ok,True,True,,0.0068484393104612,True
sub-27,0.0344068536084922,ok,True,True,,0.0352128771102105,ok,True,True,,0.0008060235017182948,True
sub-28,0.0525509453967782,ok,True,True,,0.0516527227305489,ok,True,True,,-0.000898222666229305,True
sub-29,0.0031234522376527,ok,True,True,,0.0042955861373117,ok,True,True,,0.0011721338996589998,True
sub-30,0.0017254514614152,ok,True,True,,0.0070824562205774,ok,True,True,,0.0053570047591622,True
sub-31,-0.0158680423237007,ok,True,True,,-0.0160900593000498,ok,True,True,,-0.00022201697634910075,True
sub-32,0.0691266761985548,ok,True,True,,0.0692934971403749,ok,True,True,,0.0001668209418201061,True
sub-33,-0.0033971172197316,ok,True,True,,-0.0040665381977524,ok,True,True,,-0.0006694209780208002,True
sub-34,0.0228058984002364,ok,True,True,,0.0255624678192635,ok,True,True,,0.002756569419027098,True
sub-35,0.0260628259126112,ok,True,True,,0.023124153428991,ok,True,True,,-0.0029386724836201993,True
sub-36,0.0358729306947598,ok,True,True,,0.0362448398352639,ok,True,True,,0.00037190914050409807,True
sub-37,0.0144740712478275,ok,True,True,,0.0162000378930203,ok,True,True,,0.0017259666451928009,True
sub-38,0.0723796201685098,ok,True,True,,0.0726655975792603,ok,True,True,,0.00028597741075050975,True
sub-39,0.0147096348222497,ok,True,True,,0.0198044478833351,ok,True,True,,0.005094813061085399,True
sub-40,0.0264833395337072,ok,True,True,,0.0249457773424652,ok,True,True,,-0.0015375621912420007,True
sub-41,0.0218464714157144,ok,True,True,,0.0214487321963931,ok,True,True,,-0.00039773921932129835,True
sub-42,0.0446077072353776,ok,True,True,,0.0476001080362584,ok,True,True,,0.0029924008008807984,True
sub-43,0.006552293671092,ok,True,True,,0.0082256611976373,ok,True,True,,0.001673367526545299,True
sub-44,0.0544587253037228,ok,True,True,,0.052535683429982,ok,True,True,,-0.0019230418737408023,True
sub-45,0.0794351862460625,ok,True,True,,0.0794376845201681,ok,True,True,,2.4982741056028823e-06,True
sub-46,-0.0325457169353676,ok,True,True,,-0.0279872044681381,ok,True,True,,0.004558512467229499,True
sub-47,0.0041374028105674,ok,True,True,,0.0086416651172565,ok,True,True,,0.0045042623066891,True
sub-48,0.0120254047968077,ok,True,True,,0.0140833192429505,ok,True,True,,0.0020579144461428008,True
sub-49,0.0151041149871938,ok,True,True,,0.0186249664565733,ok,True,True,,0.003520851469379499,True
