subject,tracking_r_gammatone_1,status_gammatone_1,finite_gammatone_1,include_gammatone_1,exclusion_gammatone_1,tracking_r_combined,status_combined,finite_combined,include_combined,exclusion_combined,delta_tracking_r,outcome,include_all_finite,aud_monitor_qc,mastoid_reference_qc,include_primary,include_without_invalid_aud,include_without_bad_mastoid,include_strict_qc
sub-01,0.0429208229783562,ok,True,True,,0.0451712516918949,ok,True,True,,0.002250428713538699,improved,True,pass,pass,True,True,True,True
sub-02,0.0525448448667124,ok,True,True,,0.0518724771630201,ok,True,True,,-0.000672367703692299,degraded,True,pass,pass,True,True,True,True
sub-03,0.0380210301355143,ok,True,True,,0.0377759007607986,ok,True,True,,-0.0002451293747156996,degraded,True,pass,pass,True,True,True,True
sub-04,0.0086562676053913,ok,True,True,,0.0129823251979054,ok,True,True,,0.0043260575925141,improved,True,pass,pass,True,True,True,True
sub-05,0.0254038033671418,ok,True,True,,0.0269443381322212,ok,True,True,,0.0015405347650794023,improved,True,pass,pass,True,True,True,True
sub-06,0.0314596702842889,ok,True,True,,0.032148867859396,ok,True,True,,0.0006891975751071033,improved,True,pass,pass,True,True,True,True
sub-07,0.0517657017859321,ok,True,True,,0.0510945315469161,ok,True,True,,-0.0006711702390160001,degraded,True,pass,pass,True,True,True,True
sub-08,0.0269133177925126,ok,True,True,,0.0292081435751915,ok,True,True,,0.002294825782678901,improved,True,pass,pass,True,True,True,True
sub-09,0.0441534084482411,ok,True,False,audio_alignment_failed,0.0449102833472498,ok,True,False,audio_alignment_failed,0.0007568748990086985,improved,True,unverified_invalid_AUD,pass,True,False,True,False
sub-10,0.017713424702507,ok,True,True,,0.0168356587681752,ok,True,True,,-0.0008777659343317985,degraded,True,pass,pass,True,True,True,True
sub-11,0.0015952290101288,ok,True,True,,0.0082035845450149,ok,True,True,,0.0066083555348861,improved,True,pass,fail,True,True,False,False
sub-12,0.0296345142391424,ok,True,True,,0.0322104071405187,ok,True,True,,0.0025758929013762963,improved,True,pass,pass,True,True,True,True
sub-13,0.0709773474751946,ok,True,True,,0.0762843864936155,ok,True,True,,0.005307039018420903,improved,True,pass,pass,True,True,True,True
sub-14,0.088483938868474,ok,True,True,,0.0886772088970564,ok,True,True,,0.00019327002858239573,improved,True,pass,pass,True,True,True,True
sub-15,0.0553607082960256,ok,True,True,,0.0616091013369377,ok,True,True,,0.006248393040912098,improved,True,pass,pass,True,True,True,True
sub-16,0.0550890944492385,ok,True,False,audio_alignment_failed,0.0554120276418013,ok,True,False,audio_alignment_failed,0.00032293319256280345,improved,True,unverified_invalid_AUD,pass,True,False,True,False
sub-17,0.0533287379784754,ok,True,True,,0.0555272011226041,ok,True,True,,0.0021984631441286998,improved,True,pass,pass,True,True,True,True
sub-18,0.0525559809102881,ok,True,True,,0.0523031132453596,ok,True,True,,-0.00025286766492849805,degraded,True,pass,pass,True,True,True,True
sub-19,0.0346940411959341,ok,True,True,,0.032007883544079,ok,True,True,,-0.002686157651855099,degraded,True,pass,pass,True,True,True,True
sub-20,0.0192828623821476,ok,True,True,,0.0180240677150991,ok,True,True,,-0.0012587946670485003,degraded,True,pass,pass,True,True,True,True
sub-21,0.0278000030531653,ok,True,True,,0.0299829390723796,ok,True,True,,0.0021829360192143,improved,True,pass,pass,True,True,True,True
sub-22,0.004680143922961,ok,True,True,,0.0049627825743255,ok,True,True,,0.0002826386513645005,improved,True,pass,pass,True,True,True,True
sub-23,0.0116790328970238,ok,True,True,,0.0176193911030378,ok,True,True,,0.005940358206013999,improved,True,pass,pass,True,True,True,True
sub-24,0.0119873478139881,ok,True,True,,0.0121448405397469,ok,True,True,,0.00015749272575880068,improved,True,pass,pass,True,True,True,True
sub-25,0.0275200735808529,ok,True,True,,0.0286486606268061,ok,True,True,,0.0011285870459532,improved,True,pass,fail,True,True,False,False
sub-26,0.0192025233252544,ok,True,True,,0.0266106065095204,ok,True,True,,0.007408083184266001,improved,True,pass,fail,True,True,False,False
sub-27,0.034845802592476,ok,True,True,,0.0355540802028421,ok,True,True,,0.0007082776103660982,improved,True,pass,pass,True,True,True,True
sub-28,0.0543902925206892,ok,True,True,,0.0544545070230481,ok,True,True,,6.421450235889747e-05,improved,True,pass,pass,True,True,True,True
sub-29,0.0034182819683854,ok,True,True,,0.0042285675011214,ok,True,True,,0.0008102855327360003,improved,True,pass,pass,True,True,True,True
sub-30,0.0051841558966032,ok,True,True,,0.0110328184461846,ok,True,True,,0.0058486625495814,improved,True,pass,pass,True,True,True,True
sub-31,-0.0117559232608574,ok,True,True,,-0.0081240236019917,ok,True,True,,0.003631899658865699,improved,True,pass,pass,True,True,True,True
sub-32,0.0655335931902411,ok,True,True,,0.0655052216066661,ok,True,True,,-2.837158357500702e-05,degraded,True,pass,pass,True,True,True,True
sub-33,-0.0075772853592669,ok,True,True,,-0.0053733935142604,ok,True,True,,0.0022038918450065,improved,True,pass,pass,True,True,True,True
sub-34,0.0182997181921934,ok,True,True,,0.02187488652407,ok,True,True,,0.003575168331876599,improved,True,pass,pass,True,True,True,True
sub-35,0.0321670250596576,ok,True,True,,0.0302250135477871,ok,True,True,,-0.0019420115118705013,degraded,True,pass,pass,True,True,True,True
sub-36,0.0315256394221657,ok,True,True,,0.0302807430883163,ok,True,True,,-0.0012448963338493983,degraded,True,pass,pass,True,True,True,True
sub-37,0.0183439975958774,ok,True,True,,0.0186904279936411,ok,True,True,,0.0003464303977636987,improved,True,pass,pass,True,True,True,True
