subject,model,raw,epoch,tracking_r_mean,tracking_r_median,tracking_r_max,tracking_r_min,tracking_r_sd,positive_channel_count,positive_channel_fraction,best_channel,minimum_channel,n_result_channels,contains_veog,h_shape,det_mean,finite_result,audio_alignment_qc,cache_qc,include_trf_primary,trf_exclusion_reason,cache_path,result_summary,correct,total,score_prop,high_noise_flag,exclude_high_noise,notes,include_prediction_primary,include_sensitivity,analysis_status
sub-01,gammatone-8,0.5-20,chapter-1,0.03267959055988558,0.03661419871364336,0.09222701326326761,-0.04488469451549777,0.03186987741520499,53,0.8833333333333333,41,24,60,False,"(60, 8, 56)",0.0014336717394180206,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-e022d094f8f36fbb.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.0,8.0,0.75,False,True,use,True,True,include_primary_and_sensitivity
sub-02,gammatone-8,0.5-20,chapter-1,0.05288737472586923,0.06031304561843302,0.13451902523983217,-0.054335708077399104,0.0491285972719563,49,0.8166666666666667,57,50,60,False,"(60, 8, 56)",0.0025555356023918285,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-02/subject-02_raw-0.5-20_epoch-chapter-1_key-9284de632a79a183.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.0,8.0,0.75,True,False,exclude: noise,True,False,include_primary;exclude_high_noise_sensitivity
sub-03,gammatone-8,0.5-20,chapter-1,0.03232059225812236,0.037901386096551665,0.07067039220000823,-0.031487353362304765,0.02670247155473412,51,0.85,20,12,60,False,"(60, 8, 56)",0.0009349844178320262,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-03/subject-03_raw-0.5-20_epoch-chapter-1_key-98aa6c716e227b41.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.0,8.0,0.75,False,True,use,True,True,include_primary_and_sensitivity
sub-04,gammatone-8,0.5-20,chapter-1,0.007048551843051761,0.006877666280404785,0.067023709683025,-0.054958725330847724,0.02848838709381932,34,0.5666666666666667,50,27,60,False,"(60, 8, 56)",-7.873846799825539e-07,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-04/subject-04_raw-0.5-20_epoch-chapter-1_key-45c69caed97c453b.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",7.0,8.0,0.875,False,True,use,True,True,include_primary_and_sensitivity
sub-05,gammatone-8,0.5-20,chapter-1,0.03366743273220391,0.03428377661175226,0.08292086516288594,-0.013479312935312123,0.019649177021013577,56,0.9333333333333333,50,30,60,False,"(60, 8, 56)",0.0008371830930853641,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-05/subject-05_raw-0.5-20_epoch-chapter-1_key-423ac3ddabdb1f74.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",7.0,8.0,0.875,False,True,use,True,True,include_primary_and_sensitivity
sub-06,gammatone-8,0.5-20,chapter-1,0.03194866000127364,0.03290990448745383,0.09263268622721975,-0.04619927916036037,0.03168614661088472,50,0.8333333333333334,50,28,60,False,"(60, 8, 56)",0.0012212754035101432,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-06/subject-06_raw-0.5-20_epoch-chapter-1_key-ee0f7ff07eef8bf9.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",5.0,8.0,0.625,False,True,use,True,True,include_primary_and_sensitivity
sub-07,gammatone-8,0.5-20,chapter-1,0.04109970801142746,0.047054920820577655,0.08460288517884149,-0.006431178665646505,0.02398822609800988,57,0.95,19,57,60,False,"(60, 8, 56)",0.0012781600387204181,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-07/subject-07_raw-0.5-20_epoch-chapter-1_key-c71fbcf2d3a68c9a.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",4.0,8.0,0.5,False,True,exclude: low score,True,True,include_primary_and_sensitivity
sub-08,gammatone-8,0.5-20,chapter-1,0.023952359741999298,0.026043586342816297,0.08404132740526535,-0.012810013048133074,0.020162732023841973,51,0.85,50,53,60,False,"(60, 8, 56)",0.0009359948904896461,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-08/subject-08_raw-0.5-20_epoch-chapter-1_key-4891b482baef9c37.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",6.0,8.0,0.75,False,True,use,True,True,include_primary_and_sensitivity
sub-09,gammatone-8,0.5-20,chapter-1,0.04678931371427506,0.04694606832717715,0.09101551868180718,-0.004844098237077706,0.02591178523724093,56,0.9333333333333333,10,47,60,False,"(60, 8, 56)",0.0014127224236775945,True,fail,pass,False,audio_alignment_failed,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-09/subject-09_raw-0.5-20_epoch-chapter-1_key-0ea9e9e8cabdee7e.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",2.0,8.0,0.25,False,True,exclude: low score,False,False,exclude_trf:audio_alignment_failed
sub-10,gammatone-8,0.5-20,chapter-1,0.029255716856457614,0.03064208214303135,0.09827172771510088,-0.020499567564050237,0.025031689292581073,51,0.85,51,17,60,False,"(60, 8, 56)",0.0008426902517840506,True,pass,pass,True,,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-10/subject-10_raw-0.5-20_epoch-chapter-1_key-33f5678ba1160461.pickle,"<BoostingResult eeg ~ gammatone-8, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",5.0,8.0,0.625,False,True,use,True,True,include_primary_and_sensitivity
