run_time,subject,model,term,estimator,raw,epoch,tstart,tstop,samplingrate,filter_x,cache_path,cache_exists_before,r_min,r_max,r_mean,r_abs_mean,n_sensors,h_shape,finite_r,finite_h,status,error,traceback
2026-07-20T21:50:17,01,gammatone-8,gammatone-8,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-e022d094f8f36fbb.pickle,True,-0.04488469451549777,0.09222701326326761,0.03267959055988558,0.03791573726474567,60.0,"(60, 8, 56)",True,True,ok,,
2026-07-20T21:50:17,01,acoustic-onset-8,gammatone-on-8,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-365feebd7e1ed4b5.pickle,False,-0.01458113096619373,0.08719956005241958,0.040321678750932274,0.04131932661840833,60.0,"(60, 8, 56)",True,True,ok,,
2026-07-20T21:50:46,01,auditory-gammatone,gammatone-8 + gammatone-on-8,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-54b599376df01896.pickle,False,-0.054569199670647446,0.0948093958392062,0.03755067926027618,0.04228626429801883,60.0,"(2, 60, 8, 56)",True,True,ok,,
2026-07-20T21:52:19,01,word-onset,word,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-edb47dc308e3ebdd.pickle,False,-0.018602671612474066,0.057876089060806254,0.018109869017249935,0.020661560469596097,60.0,"(60, 56)",True,True,ok,,
2026-07-20T21:52:21,01,lexical-onset,word-lexical,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-cba669b1a342d58f.pickle,False,-0.027288513111622763,0.04002137886487213,0.017900776313189228,0.02147384134141716,60.0,"(60, 56)",True,True,ok,,
2026-07-20T21:52:23,01,nonlexical-onset,word-nlexical,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-eccb6fde068a7418.pickle,False,-0.010748513495635856,0.04584036287127615,0.01526867246046617,0.01681873459113481,60.0,"(60, 56)",True,True,ok,,
2026-07-20T21:52:25,01,word-logfreq,word-LogFreq,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-4f43b5bd90199bf4.pickle,False,-0.012310539714597269,0.041834338786534815,0.02031892602259098,0.02177687854173406,60.0,"(60, 56)",True,True,ok,,
2026-07-20T21:52:28,01,word-ngram,word-NGRAM,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-fce6e0279ec77bb7.pickle,False,-0.0011792288472617866,0.05474118016533271,0.021938776887808174,0.021992229834808245,60.0,"(60, 56)",True,True,ok,,
2026-07-20T21:52:30,01,word-rnn,word-RNN,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-5d9ccf5949e53069.pickle,False,-0.01111401756869097,0.06099949145097588,0.020194719154109097,0.021114114657784924,60.0,"(60, 56)",True,True,ok,,
2026-07-20T21:52:32,01,word-cfg,word-CFG,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-d1b91ca870d5df90.pickle,False,-0.010080724031260029,0.04073461306203894,0.016578106241406914,0.01779447692295338,60.0,"(60, 56)",True,True,ok,,
2026-07-20T21:52:34,01,gammatone-plus-word,gammatone-8 + word,boosting,0.5-20,chapter-1,-0.1,1.0,50,continuous,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-01/subject-01_raw-0.5-20_epoch-chapter-1_key-a9784e1f82a767e3.pickle,False,,,,,,,,,error,"ValueError('setting an array element with a sequence. The requested array has an inhomogeneous shape after 2 dimensions. The detected shape was (2, 60) + inhomogeneous part.')","Traceback (most recent call last):
  File ""/var/folders/j8/hc9f3z3931ld2qv6m5zzg0t80000gn/T/ipykernel_72929/2205776473.py"", line 62, in <module>
    row.update(summarize_result(result))
               ~~~~~~~~~~~~~~~~^^^^^^^^
  File ""/var/folders/j8/hc9f3z3931ld2qv6m5zzg0t80000gn/T/ipykernel_72929/2205776473.py"", line 9, in summarize_result
    h = numeric_array(result.h)
  File ""/var/folders/j8/hc9f3z3931ld2qv6m5zzg0t80000gn/T/ipykernel_72929/2205776473.py"", line 4, in numeric_array
    return np.asarray(value, dtype=float)
           ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
ValueError: setting an array element with a sequence. The requested array has an inhomogeneous shape after 2 dimensions. The detected shape was (2, 60) + inhomogeneous part.
"
